Name,Position,College,RAS
Westin Elliott,QB,Merrimack,4.83
Kyle Wright,QB,Miami,5.53
Matt Veatch,QB,San Jose State,8.3
Mike Bercovici,QB,Arizona State,4.95
Tom Brandstater,QB,Fresno State,5.53
Jake Rudock,QB,Michigan,4.86
Ronald Butler,QB,Tennessee State,4.75
Jimmy Garoppolo,QB,Eastern Illinois,4.99
Tyler Bruggman,QB,Texas A&M,4.64
Paul Smith,QB,Tulsa,5.36
Stoney Case,QB,New Mexico,7.39
Baker Mayfield,QB,Oklahoma,4.71
Brandon Weeden,QB,Oklahoma State,5.02
Brandon Allen,QB,Arkansas,4.61
Brad Sorensen,QB,Southern Utah,5.1
Luke Getsy,QB,Akron,5.48
Malcolm Bell,QB,North Carolina Central,4.49
Ryan Colburn,QB,Fresno State,4.63
Rod Rutherford,QB,Pittsburgh,5.84
Ross Dausin,QB,Colorado State Pueblo,4.9
John Bonds,QB,Northern Arizona,7.27
Chayce Crouch,QB,Illinois,4.64
Brock Purdy,QB,Iowa State,4.51
Henry Ogala,QB,Western Illinois,4.56
Tajh Boyd,QB,Clemson,4.79
Brad Otton,QB,Southern California,8.45
Evan Cummins,QB,Ferris State,4.53
Todd Collins,QB,Michigan,7.24
Casey Weldon,QB,Florida State,7.45
Dayne Crist,QB,Kansas,4.82
Craig Ochs,QB,Montana,5.74
Kevin Davidson,QB,Princeton,4.5
Shane Matthews,QB,Florida,7.18
Max Browne,QB,Pittsburgh,4.57
Tony Romo,QB,Eastern Illinois,6.1
Nathan Stanley,QB,Southeast Louisiana,4.97
Jacoby Brissett,QB,North Carolina State,4.53
Chad Henne,QB,Michigan,5.06
Patrick Witt,QB,Yale,4.49
Will Furrer,QB,Virginia Tech,7.77
Jack Nelson,QB,Winona State,4.36
Zach Kline,QB,Fresno State,4.09
Jason Davis,QB,Western State Colorado,8.07
Ryan Lindley,QB,San Diego State,4.84
Scott Tolzien,QB,Wisconsin,4.22
Zach Greenlee,QB,Texas-El Paso,4.32
J.T. O'Sullivan,QB,Cal-Davis,6.3
Jason White,QB,Oklahoma,5.85
Austin Allen,QB,Arkansas,4.22
T.J. Rubley,QB,Tulsa,7.02
Max Hall,QB,Brigham Young,4.67
Peyton Ramsey,QB,Northwestern,4.17
Henderson Mosely,QB,Central State,6.64
Ben Maracle,QB,Ottawa ,4.24
Jake Mullin,QB,McMurry,4.51
Jalani Eason,QB,Mississippi Valley State,4.21
Seth Doege,QB,Texas Tech,4.43
